net_receive	host_cpu	sensor_count	timestamp	memory%	net_send	memory_active_anon%	container_cpu%	host_moving_avg_cpu	name	memory_rss%
353.328	2.08	142	2018-08-17T14:13:31.281199742Z	76.52	33.718	38.05	1.1	3.2	cassandra-001	38.05
181.04	1.1	143	2018-08-17T14:13:38.28968488Z	76.51	15.73	38.05	1.04	3.22	cassandra-001	38.05
350.803	1.04	144	2018-08-17T14:13:45.298922395Z	76.52	33.914	38.05	18.12	3.18	cassandra-001	38.05
177.79	18.12	145	2018-08-17T14:13:52.308528175Z	76.52	18.422	38.05	1.12	6.02	cassandra-001	38.05
180.337	1.12	146	2018-08-17T14:13:59.315557629Z	76.52	17.761	38.05	1.19	4.1	cassandra-001	38.05
363.786	1.19	147	2018-08-17T14:14:06.32419921Z	76.52	31.272	38.05	1.14	4.11	cassandra-001	38.05
184.298	1.14	148	2018-08-17T14:14:13.331236224Z	76.52	15.53	38.05	1.05	3.95	cassandra-001	38.05
373.294	1.05	149	2018-08-17T14:14:20.3390511Z	76.52	37.844	38.05	16.5	3.94	cassandra-001	38.05
188.76	16.5	150	2018-08-17T14:14:27.345177798Z	76.52	16.743	38.05	1.11	6.52	cassandra-001	38.05
190.714	1.11	151	2018-08-17T14:14:34.354491833Z	76.52	20.756	38.05	1.1	3.68	cassandra-001	38.05
376.358	1.1	152	2018-08-17T14:14:41.36218448Z	76.53	35.228	38.05	1.17	3.68	cassandra-001	38.05
190.482	1.17	153	2018-08-17T14:14:48.37374862Z	76.52	15.33	38.05	0.99	3.68	cassandra-001	38.05
384.189	0.99	154	2018-08-17T14:14:55.3809118Z	76.53	35.041	38.05	15.38	3.65	cassandra-001	38.05
192.474	15.38	155	2018-08-17T14:15:02.388412815Z	76.53	15.646	38.05	1.01	6.04	cassandra-001	38.05
191.175	1.01	156	2018-08-17T14:15:09.395607695Z	76.54	15.672	38.05	5.09	3.46	cassandra-001	38.05
382.284	5.09	157	2018-08-17T14:15:16.405168678Z	76.53	38.96	38.05	1.17	4.12	cassandra-001	38.05
195.796	1.17	157	2018-08-17T14:15:23.4142156Z	76.54	22.324	38.05	1.21	4.13	cassandra-001	38.05
397.927	1.21	158	2018-08-17T14:15:30.426358868Z	76.54	38.377	38.05	37.64	4.14	cassandra-001	38.05
203.585	37.64	159	2018-08-17T14:15:37.436962037Z	76.54	23.894	38.05	1.22	10.25	cassandra-001	38.05
205.332	1.22	160	2018-08-17T14:15:44.445815079Z	76.54	23.894	38.05	1.27	7.89	cassandra-001	38.05
